,hannanum,kkma,komoran,okt
69,"('처참', 'NC')","('대전', 'NNG')","('ㄴ', 'ETM')","('앞', 'Noun')"
70,"('하', 'XS')","('당시', 'NNG')","('런던', 'NNP')","('에', 'Josa')"
71,"('게', 'EC')","('처', 'NNG')","('의', 'JKG')","('선', 'Noun')"
72,"('무너지', 'PV')","('참하', 'VA')","('한', 'MM')","('이유', 'Noun')"
73,"('어', 'EC')","('게', 'ECD')","('건물', 'NNG')","('는', 'Josa')"
74,"('내리', 'PV')","('무너지', 'VV')","('모습', 'NNG')","('무엇', 'Noun')"
75,"('ㄴ', 'ET')","('어', 'ECS')","('이', 'VCP')","('일까', 'Verb')"
76,"('런던', 'NC')","('내리', 'VV')","('다', 'EF')","('?', 'Punctuation')"
77,"('의', 'JC')","('ㄴ', 'ETD')","('.', 'SF')","('이', 'Noun')"
78,"('한', 'NN')","('런던', 'NNG')","('폐허', 'NNP')","('들', 'Suffix')"
79,"('건물', 'NC')","('의', 'JKG')","('속', 'NNG')","('은', 'Josa')"
80,"('모습', 'NC')","('한', 'MDN')","('에서', 'JKB')","('갑작스레', 'Noun')"
81,"('이', 'JP')","('건물', 'NNG')","('도', 'JX')","('닥친', 'Verb')"
82,"('다', 'EF')","('모습', 'NNG')","('사람', 'NNG')","('상황', 'Noun')"
83,"('.', 'SF')","('이', 'VCP')","('들', 'XSN')","('에서', 'Josa')"
84,"('폐허', 'NC')","('다', 'EFN')","('이', 'JKS')","('독서', 'Noun')"
85,"('속', 'NC')","('.', 'SF')","('책', 'NNG')","('를', 'Josa')"
86,"('에서', 'JC')","('폐허', 'NNG')","('을', 'JKO')","('통해', 'Noun')"
87,"('도', 'JX')","('속', 'NNG')","('찾', 'VV')","('무언가', 'Noun')"
88,"('사람', 'NC')","('에서', 'JKM')","('아', 'EC')","('를', 'Josa')"
89,"('들', 'XS')","('도', 'JX')","('서가', 'NNG')","('구', 'Noun')"
90,"('이', 'JC')","('사람', 'NNG')","('앞', 'NNG')","('하고자', 'Verb')"
91,"('책', 'NC')","('들', 'XSN')","('에', 'JKB')","('했을', 'Verb')"
92,"('을', 'JC')","('이', 'JKS')","('서', 'VV')","('것', 'Noun')"
93,"('찾', 'PV')","('책', 'NNG')","('ㄴ', 'ETM')","('이다', 'Josa')"
94,"('아', 'EC')","('을', 'JKO')","('이유', 'NNG')","('.', 'Punctuation')"
95,"('서', 'PV')","('찾', 'VV')","('는', 'JX')","('독서', 'Noun')"
96,"('어', 'EC')","('아', 'ECD')","('무엇', 'NP')","('는', 'Josa')"
97,"('가', 'PX')","('서가', 'NNG')","('이', 'VCP')","('자신', 'Noun')"
98,"('아', 'EC')","('앞', 'NNG')","('ㄹ까', 'EF')","('을', 'Josa')"
99,"('앞', 'NC')","('에', 'JKM')","('?', 'SF')","('살피', 'Noun')"
100,"('에', 'JC')","('서', 'VV')","('이', 'NP')","('고', 'Josa')"
101,"('서', 'PV')","('ㄴ', 'ETD')","('들', 'XSN')","('돌아볼', 'Verb')"
102,"('ㄴ', 'ET')","('이유', 'NNG')","('은', 'JX')","('계기', 'Noun')"
103,"('이유', 'NC')","('는', 'JX')","('갑작스레', 'MAG')","('를', 'Josa')"
104,"('는', 'JX')","('무엇', 'NP')","('닥치', 'VV')","('제', 'Modifier')"
105,"('무엇', 'NP')","('이', 'VCP')","('ㄴ', 'ETM')","('공함', 'Noun')"
106,"('이', 'JP')","('ㄹ까', 'EFQ')","('상황', 'NNG')","('으로써', 'Josa')"
107,"('ㄹ까', 'EF')","('?', 'SF')","('에서', 'JKB')","('어떻게', 'Adjective')"
108,"('?', 'SF')","('이', 'NP')","('독서', 'NNG')","('살', 'Noun')"
109,"('이', 'NC')","('들', 'XSN')","('를', 'JKO')","('것', 'Noun')"
110,"('들', 'XS')","('은', 'JX')","('통하', 'VV')","('인가', 'Josa')"
111,"('은', 'JX')","('갑작스레', 'MAG')","('아', 'EC')","('의', 'Noun')"
112,"('갑작스레', 'MA')","('닥치', 'VV')","('무', 'XPN')","('문제', 'Noun')"
113,"('닥치', 'PV')","('ㄴ', 'ETD')","('언가', 'NNG')","('를', 'Josa')"
114,"('ㄴ', 'ET')","('상황', 'NNG')","('를', 'JKO')","('생각', 'Noun')"
115,"('상황', 'NC')","('에서', 'JKM')","('구하', 'VV')","('하게', 'Verb')"
116,"('에서', 'JC')","('독서', 'NNG')","('고자', 'EC')","('한다', 'Verb')"
