,단어,품사태그
12,시,EP
16,으시,EP
117,시,EP
118,겠,EP
207,겠,EP
240,었,EP
421,시,EP
636,시,EP
795,였,EP
967,았,EP
1007,시,EP
1016,겠,EP
1176,겠,EP
1274,었,EP
1294,었,EP
1989,었,EP
2126,시,EP
2276,었,EP
2451,였,EP
2454,시,EP
2666,였,EP
2746,시,EP
2831,시,EP
2841,겠,EP
