,단어,품사태그
11,겠,EP
40,였,EP
58,겠,EP
181,겠,EP
210,였,EP
246,였,EP
303,겠,EP
316,겠,EP
321,겠,EP
335,겠,EP
393,시,EP
397,었,EP
405,시,EP
472,았,EP
532,시,EP
542,었,EP
604,였,EP
678,었,EP
910,었,EP
943,겠,EP
960,었,EP
979,였,EP
999,시,EP
1032,였,EP
1035,겠,EP
1116,겠,EP
1159,었,EP
1250,시,EP
1293,었,EP
1439,었,EP
1456,시,EP
1457,겠,EP
1471,겠,EP
1506,시,EP
1507,었,EP
1513,였,EP
1550,시,EP
1553,겠,EP
1590,였,EP
1599,겠,EP
1611,었,EP
1625,었,EP
1640,겠,EP
1650,였,EP
1656,였,EP
1792,시,EP
1869,시,EP
2041,겠,EP
2056,시,EP
2060,였,EP
2066,시,EP
2078,시,EP
2079,었,EP
2101,시,EP
2104,겠,EP
2163,겠,EP
2182,였,EP
2188,였,EP
2365,겠,EP
2385,였,EP
2416,었,EP
2487,시,EP
2563,시,EP
2564,겠,EP
2601,시,EP
2627,였,EP
2657,었,EP
2727,시,EP
2728,었,EP
2752,였,EP
2805,겠,EP
2854,겠,EP
2889,겠,EP
2917,겠,EP
3027,겠,EP
3141,였,EP
3203,겠,EP
3239,었,EP
3277,겠,EP
3293,겠,EP
3306,시,EP
3307,었,EP
3339,였,EP
3358,시,EP
3361,겠,EP
3392,었,EP
3397,었,EP
3422,었,EP
3432,었,EP
3522,었,EP
3560,였,EP
3595,었,EP
3757,였,EP
3763,시,EP
3764,었,EP
