,단어,품사태그
43,겠,EP
522,시,EP
523,겠,EP
785,겠,EP
1164,겠,EP
1242,시,EP
1525,었,EP
1543,였,EP
1561,였,EP
1613,겠,EP
1630,였,EP
1649,시,EP
1657,겠,EP
