,단어,품사태그
32,었,EP
187,겠,EP
262,겠,EP
474,었,EP
629,았,EP
630,겠,EP
1319,었,EP
1754,았,EP
1755,겠,EP
1901,았,EP
2437,였,EP
2711,였,EP
3121,었,EP
3124,었,EP
3150,였,EP
3284,겠,EP
