,단어,품사태그
32,었,EP
137,시,EP
267,시,EP
332,였,EP
390,겠,EP
997,시,EP
1014,시,EP
1015,었,EP
1064,였,EP
1142,시,EP
1145,시,EP
1146,겠,EP
1531,었,EP
1868,시,EP
1974,았,EP
2001,겠,EP
2020,었,EP
2039,었,EP
2078,었,EP
2140,었,EP
2167,었,EP
2198,었,EP
2255,았,EP
2260,시,EP
2261,었,EP
2275,시,EP
2325,시,EP
2398,시,EP
2408,겠,EP
