,단어,품사태그
19,겠,EP
51,겠,EP
205,었었,EP
224,겠,EP
241,겠,EP
257,겠,EP
272,겠,EP
281,겠,EP
291,시,EP
309,시,EP
312,겠,EP
323,겠,EP
494,았,EP
539,었,EP
561,시,EP
562,겠,EP
650,겠,EP
675,시,EP
676,겠,EP
688,시,EP
705,겠,EP
749,겠,EP
831,겠,EP
836,시,EP
837,겠,EP
847,겠,EP
875,겠,EP
917,었,EP
951,었,EP
1019,겠,EP
1052,였,EP
1078,었,EP
1119,었,EP
1146,겠,EP
1205,겠,EP
1220,겠,EP
1310,시,EP
1313,겠,EP
1360,겠,EP
1395,었,EP
1563,였,EP
1612,였,EP
1637,었,EP
1692,었,EP
1737,었,EP
1740,겠,EP
1761,겠,EP
1791,였,EP
1802,겠,EP
1836,겠,EP
1849,겠,EP
1881,겠,EP
1901,었,EP
1926,었,EP
1938,시,EP
1971,였,EP
2082,였,EP
2192,였,EP
2218,었,EP
2269,겠,EP
2304,시,EP
2305,겠,EP
2355,시,EP
2374,겠,EP
2400,겠,EP
2704,겠,EP
2841,겠,EP
2917,였,EP
2943,겠,EP
2956,겠,EP
3058,겠,EP
3063,시,EP
3064,겠,EP
3104,겠,EP
