,단어,품사태그
54,겠,EP
69,었,EP
106,였,EP
116,겠,EP
682,였,EP
733,였,EP
757,였,EP
783,였,EP
853,였,EP
935,였,EP
1006,였,EP
1271,였,EP
1315,였,EP
1386,였,EP
1417,였,EP
1449,였,EP
1499,였,EP
1779,였,EP
1905,였,EP
