,단어,품사태그
70,겠,EP
89,였,EP
135,였,EP
144,겠,EP
161,았,EP
228,겠,EP
328,였,EP
410,겠,EP
510,였,EP
557,었,EP
572,였,EP
597,겠,EP
663,었,EP
683,였,EP
714,였,EP
785,겠,EP
941,았,EP
947,였,EP
982,았,EP
1035,였,EP
1092,였,EP
1148,였,EP
1200,겠,EP
1244,겠,EP
1250,였,EP
1254,였,EP
1317,였,EP
1404,였,EP
1486,였,EP
1607,였,EP
1699,였,EP
1727,었,EP
1836,었,EP
2222,였,EP
2312,였,EP
2359,였,EP
2446,였,EP
2473,였,EP
2477,였,EP
2517,시,EP
2646,였,EP
2650,였,EP
2699,였,EP
2703,였,EP
2740,였,EP
2781,였,EP
2846,겠,EP
2946,였,EP
2972,었,EP
