,단어,품사태그
43,겠,EP
154,겠,EP
198,였,EP
207,시,EP
208,었,EP
218,았,EP
256,었,EP
310,았,EP
327,았,EP
464,았,EP
478,었,EP
501,었,EP
527,었,EP
609,었,EP
777,었,EP
848,였,EP
857,시,EP
858,었,EP
868,았,EP
906,었,EP
950,였,EP
959,시,EP
960,었,EP
969,시,EP
970,었,EP
1079,었,EP
1134,았,EP
1151,았,EP
1203,였,EP
1240,었,EP
1251,였,EP
1257,았,EP
1705,았,EP
1719,었,EP
1742,었,EP
1768,었,EP
1874,았,EP
1901,었,EP
1945,였,EP
2075,었,EP
2295,었,EP
2721,었,EP
2995,겠,EP
3335,겠,EP
3392,겠,EP
3477,겠,EP
3491,겠,EP
3509,겠,EP
3555,겠,EP
3881,었,EP
3957,었,EP
4035,시,EP
4045,겠,EP
4049,시,EP
4050,었,EP
